content,subject,topic,source_file,difficulty,word_count,complexity_score
"no: 1 | topic: Atom | description: Atom: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Atom,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 2 | topic: Isotope | description: Isotope: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Isotope,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 3 | topic: Ion | description: Ion: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Ion,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 4 | topic: Molecule | description: Molecule: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Molecule,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 5 | topic: Compound | description: Compound: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Compound,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 6 | topic: Mixture | description: Mixture: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Mixture,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 7 | topic: Chemical Bond | description: Chemical Bond: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Chemical Bond,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 8 | topic: Ionic Bond | description: Ionic Bond: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Ionic Bond,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 9 | topic: Covalent Bond | description: Covalent Bond: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Covalent Bond,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 10 | topic: Metallic Bond | description: Metallic Bond: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Metallic Bond,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 11 | topic: VSEPR Theory | description: VSEPR Theory: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,VSEPR Theory,chemistry_topics_1000_unique.csv,easy,26,1.0
