no,topic,description,example
1,Atom,"Atom: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
2,Isotope,"Isotope: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
3,Ion,"Ion: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
4,Molecule,"Molecule: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
5,Compound,"Compound: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
6,Mixture,"Mixture: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
7,Chemical Bond,"Chemical Bond: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
8,Ionic Bond,"Ionic Bond: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
9,Covalent Bond,"Covalent Bond: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
10,Metallic Bond,"Metallic Bond: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
11,VSEPR Theory,"VSEPR Theory: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
12,Hybridization,"Hybridization: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
13,Molecular Orbital Theory,"Molecular Orbital Theory: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
14,Stoichiometry,"Stoichiometry: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
15,Limiting Reagent,"Limiting Reagent: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
16,Percent Yield,"Percent Yield: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
17,Mole Concept,"Mole Concept: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
18,Avogadro's Law,"Avogadro's Law: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
19,Ideal Gas Law,"Ideal Gas Law: definition, key principles, and typical applications.","Example: pV=nRT: 1 mol at 298 K, 24.5 L → p≈1.0 atm. Dalton: P_total=Σp_i."
20,Real Gases,"Real Gases: definition, key principles, and typical applications.","Example: pV=nRT: 1 mol at 298 K, 24.5 L → p≈1.0 atm. Dalton: P_total=Σp_i."
