no,topic,description,example
1,Array,"Array: key idea, when to use it, and its core properties or equations.","Goal: store numbers and access by index.
Example: a = [5, 2, 9]; a[1] = 2; a.append(7) → [5,2,9,7].
Property: O(1) access, append amortized O(1) for dynamic arrays."
2,Dynamic Array,"Dynamic Array: key idea, when to use it, and its core properties or equations.","Goal: store numbers and access by index.
Example: a = [5, 2, 9]; a[1] = 2; a.append(7) → [5,2,9,7].
Property: O(1) access, append amortized O(1) for dynamic arrays."
3,2D Array,"2D Array: key idea, when to use it, and its core properties or equations.","Goal: store numbers and access by index.
Example: a = [5, 2, 9]; a[1] = 2; a.append(7) → [5,2,9,7].
Property: O(1) access, append amortized O(1) for dynamic arrays."
4,Linked List,"Linked List: key idea, when to use it, and its core properties or equations.","Singly linked list: nodes (val,next).
Example: 1→3→5; insert 4 after 3 → 1→3→4→5. Traversal O(n), insert after node O(1)."
5,Doubly Linked List,"Doubly Linked List: key idea, when to use it, and its core properties or equations.","Doubly list: nodes (prev,val,next).
Example: 1⇄3⇄5; delete 3 → 1⇄5. Remove node in O(1) with pointer."
6,Circular Linked List,"Circular Linked List: key idea, when to use it, and its core properties or equations.","Tail.next points to head.
Example: 1→3→5↻; handy for round-robin. Iterate until you revisit head."
7,Stack,"Stack: key idea, when to use it, and its core properties or equations.","LIFO container.
Ops: push(3), push(5), pop()→5, top()→3. Parentheses check uses stack."
8,Queue,"Queue: key idea, when to use it, and its core properties or equations.","FIFO container.
Ops: enqueue(5), enqueue(7), dequeue()→5. BFS uses queue."
9,Deque,"Deque: key idea, when to use it, and its core properties or equations.","Double-ended queue.
Ops: push_front(2), push_back(9), pop_front()→2, pop_back()→9."
10,Priority Queue,"Priority Queue: key idea, when to use it, and its core properties or equations.","Min-heap for smallest-first.
Example: push 9,5,7 → pop gives 5 then 7 then 9. Each push/pop O(log n)."
11,Binary Heap,"Binary Heap: key idea, when to use it, and its core properties or equations.","Min-heap for smallest-first.
Example: push 9,5,7 → pop gives 5 then 7 then 9. Each push/pop O(log n)."
12,Binomial Heap,"Binomial Heap: key idea, when to use it, and its core properties or equations.","Min-heap for smallest-first.
Example: push 9,5,7 → pop gives 5 then 7 then 9. Each push/pop O(log n)."
13,Fibonacci Heap,"Fibonacci Heap: key idea, when to use it, and its core properties or equations.","Min-heap for smallest-first.
Example: push 9,5,7 → pop gives 5 then 7 then 9. Each push/pop O(log n)."
14,Hash Table,"Hash Table: key idea, when to use it, and its core properties or equations.","Key→value via hash(key).
Example: put('id42',99); get('id42')→99. Expected O(1). Handle collisions by chaining."
15,Hash Map,"Hash Map: key idea, when to use it, and its core properties or equations.","Key→value via hash(key).
Example: put('id42',99); get('id42')→99. Expected O(1). Handle collisions by chaining."
16,Hash Set,"Hash Set: key idea, when to use it, and its core properties or equations.","Key→value via hash(key).
Example: put('id42',99); get('id42')→99. Expected O(1). Handle collisions by chaining."
17,Bloom Filter,"Bloom Filter: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
18,Trie,"Trie: key idea, when to use it, and its core properties or equations.","Prefix tree for strings.
Example: insert 'cat','car'; search 'ca*' → {'cat','car'}. Lookup prefix O(L)."
19,Radix Tree,"Radix Tree: key idea, when to use it, and its core properties or equations.","Prefix tree for strings.
Example: insert 'cat','car'; search 'ca*' → {'cat','car'}. Lookup prefix O(L)."
20,Suffix Array,"Suffix Array: key idea, when to use it, and its core properties or equations.","Goal: store numbers and access by index.
Example: a = [5, 2, 9]; a[1] = 2; a.append(7) → [5,2,9,7].
Property: O(1) access, append amortized O(1) for dynamic arrays."
21,Suffix Tree,"Suffix Tree: key idea, when to use it, and its core properties or equations.","Index all suffixes.
Example: s='banana'; suffixes sorted → ['a','ana','anana','banana','na','nana']; search 'ana' fast."
22,Segment Tree,"Segment Tree: key idea, when to use it, and its core properties or equations.","Segment tree for range queries.
Example: arr=[2,1,5,3]; range max [2,4]→max(1,5,3)=5; point update in O(log n)."
23,Fenwick Tree,"Fenwick Tree: key idea, when to use it, and its core properties or equations.","Fenwick tree (BIT) supports prefix sums.
Example: arr=[1,2,3,4]; query(3)→1+2+3=6; update(2,+5) in O(log n)."
24,Disjoint Set Union,"Disjoint Set Union: key idea, when to use it, and its core properties or equations.","Union-Find: merges and finds components.
Example: union(1,2), union(2,3) → find(1)==find(3). Path compression + union by rank → α(n)."
25,Skip List,"Skip List: key idea, when to use it, and its core properties or equations.","Layered linked lists with express lanes.
Example: search 42 hops levels then down. Expected O(log n)."
26,LRU Cache,"LRU Cache: key idea, when to use it, and its core properties or equations.","LRU via hash map + doubly list.
Example: cap=2; put(A),put(B),get(A),put(C) → evict B. Ring buffer: overwrite oldest in fixed size."
27,Ring Buffer,"Ring Buffer: key idea, when to use it, and its core properties or equations.","LRU via hash map + doubly list.
Example: cap=2; put(A),put(B),get(A),put(C) → evict B. Ring buffer: overwrite oldest in fixed size."
28,Binary Search Tree,"Binary Search Tree: key idea, when to use it, and its core properties or equations.","BST invariant: left<node<right.
Example: insert 5,2,8,1,3 → in-order = sorted = [1,2,3,5,8]. Balanced variants keep O(log n)."
29,AVL Tree,"AVL Tree: key idea, when to use it, and its core properties or equations.","BST invariant: left<node<right.
Example: insert 5,2,8,1,3 → in-order = sorted = [1,2,3,5,8]. Balanced variants keep O(log n)."
30,Red-Black Tree,"Red-Black Tree: key idea, when to use it, and its core properties or equations.","BST invariant: left<node<right.
Example: insert 5,2,8,1,3 → in-order = sorted = [1,2,3,5,8]. Balanced variants keep O(log n)."
31,Splay Tree,"Splay Tree: key idea, when to use it, and its core properties or equations.","BST invariant: left<node<right.
Example: insert 5,2,8,1,3 → in-order = sorted = [1,2,3,5,8]. Balanced variants keep O(log n)."
32,Treap,"Treap: key idea, when to use it, and its core properties or equations.","BST invariant: left<node<right.
Example: insert 5,2,8,1,3 → in-order = sorted = [1,2,3,5,8]. Balanced variants keep O(log n)."
