no,topic,description,example
1,Vector,"Vector: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
2,Scalar,"Scalar: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
3,Displacement,"Displacement: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
4,Velocity,"Velocity: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
5,Acceleration,"Acceleration: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
6,Force,"Force: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
7,Momentum,"Momentum: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
8,Impulse,"Impulse: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
9,Work,"Work: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
10,Kinetic Energy,"Kinetic Energy: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
11,Potential Energy,"Potential Energy: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
12,Power,"Power: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
13,Hooke's Law,"Hooke's Law: definition, governing equations, and typical applications.","x(t)=A cos(ωt+φ); ω=√(k/m). Example: m=1 kg, k=4 N/m ⇒ T=π s."
